BATR,276757741568
KBLV,273520361472
CGAS,272814948352
BPTR,272118005760
HAJJ,271534571520
EMDE,271350005760
FUJI,270399995904
AMIN,267839995904
IKAI,266115989504
BTON,264960000000
MEJA,263416201216
TIRA,262248005632
INOV,262192185344
LAPD,261779111936
BINO,257110736896
SAGE,257072873472
MCAS,256630587392
AMMS,254400004096
DEWI,251999993856
NTBK,251106017280
HRME,250267500544
BOBA,249642008576
ERTX,248302174208
KREN,236655230976
SDPC,234415996928
HBAT,233125937152
LAND,226202222592
ITIC,223891357696
PEHA,223439994880
LPPS,220001255424
ACRO,215099424768
ASJT,214199992320
PTSP,214183755776
PTMP,212336410624
VINS,208862019584
PURA,207963717632
APII,204394397696
GPSO,203889393664
PUDP,203008966656
KAQI,201352609792
RELF,200474116096
ASDM,199680000000
DIVA,195998269440
PSDN,195840000000
ECII,195595960320
EPAC,194900590592
SLIS,194606071808
POLA,194362376192
MRAT,189176004608
NPGF,187933671424
FWCT,186484998144
LION,185176965120
SAPX,183333322752
LPIN,179349995520
RBMS,177966252032
YELO,177888018432
CINT,177000005632
ENZO,175166324736
PAMG,174999994368
BAUT,172806586368
CAKK,169665331200
ANDI,168299986944
INTD,168079147008
ZYRX,168000143360
TRJA,167632207872
AKSI,167039991808
DKHH,165755125760
CTTH,164932534272
OBMD,164422565888
IPAC,163377381376
RUIS,163240001536
FIRE,162289958912
WEHA,162121596928
HELI,159909576704
PPRI,158029021184
TMPO,157691658240
COAL,156249997312
DFAM,155787935744
PPGL,155777957888
NINE,153146998784
WAPO,152633540608
DSFI,152285102080
KLIN,151673520128
MPIX,151569711104
ASBI,149806186496
MANG,148691615744
PTIS,148544634880
WOWS,148543193088
NAYZ,147900661760
OBAT,147599998976
LAJU,146196119552
KOPI,145031462912
ASMI,143334080512
LMPI,143209512960
TAXI,143131049984
ESIP,142074085376
MSIE,141620756480
TOOL,141451411456
INCI,140168216576
PURI,140000002048
AYLS,139107991552
MBTO,136960000000
SEMA,134725885952
GEMA,129356996608
ICON,125321248768
NANO,124271779840
MERI,124215894016
KUAS,120231165952
MEDS,115625000960
MIRA,114882109440
INAI,114048000000
CHEM,113902198784
ISEA,112589996032
WINR,109941637120
NASI,109806403584
KIOS,106510426112
