ticker,bars,span,tv,cost,trades,in_mkt,rule,hold,start,end,rule_early,hold_early,rule_late,hold_late,edge
SMCB,4278,16.976190476190474,2383336001.000001,0.010650505050505051,100,0.517531556802244,0.06714004020372322,0.10935021454301475,2002-01-04,2019-04-08,0.13606338070314972,0.1778642429997117,-0.05742907693981303,-0.026836926916417703,-0.04221017433929153
SMDM,6291,24.964285714285715,1380001.0000000005,0.013062686567164179,165,0.463519313304721,-0.20911644851027378,0.12274914414692417,2001-04-27,2026-08-28,-0.23066836397634816,0.16428675760411515,-0.18817578680597258,0.0848245814743025,-0.33186559265719795
SMDR,6127,24.313492063492063,45543750.99999993,0.023457142857142857,138,0.4690713236494206,0.026426615831498523,0.18388862408863793,2001-12-13,2026-08-28,-0.09075616744393122,0.10534190431087453,0.14407639870301603,0.2589220956277365,-0.1574620082571394
SMGA,610,2.4206349206349205,2974022601.000002,0.017364705882352942,16,0.4,-0.1440249454818303,-0.2046666493942283,2024-01-30,2026-08-28,,,-0.1440249454818303,-0.2046666493942283,0.06064170391239798
SMGR,5147,20.424603174603174,50859743137.22626,0.008465091888309316,119,0.5232174081989508,-0.013188411339105865,0.019597874826275286,2005-09-29,2026-08-28,0.1740830643079474,0.39119137053771125,-0.10965625034125026,-0.15095755756828522,-0.03278628616538115
SMIL,785,3.115079365079365,26303242401.0,0.014371929824561404,15,0.49171974522292994,0.5133293215340933,0.4426337935839899,2023-05-12,2026-08-28,,,0.5133293215340933,0.4426337935839899,0.07069552795010337
SMKL,1725,6.845238095238095,48146901.00000006,0.0156,42,0.47246376811594204,-0.1355113727946291,-0.055779768389810136,2019-07-11,2026-08-28,,,-0.1355113727946291,-0.055779768389810136,-0.07973160440481897
SMKM,1071,4.25,353951925.9999998,0.016016666666666665,20,0.4584500466853408,0.5421226128411196,-0.16427725435813723,2022-03-09,2026-08-28,,,0.5421226128411196,-0.16427725435813723,0.7063998671992568
SMLE,624,2.4761904761904763,499114401.00000006,0.013600000000000001,12,0.4823717948717949,0.8702686999643297,-0.1366939516776845,2024-01-10,2026-08-28,,,0.8702686999643297,-0.1366939516776845,1.0069626516420143
SMMA,5809,23.0515873015873,15225000.999999996,0.007797802197802198,120,0.45532793940437255,0.02241204202933056,0.19599773894697514,2003-03-04,2026-08-28,0.07618154295203561,0.3054366283446457,-0.01284693004558235,0.11540434376637432,-0.17358569691764458
