feat,h,bucket,ic,t,early,late,n_days
pastret1,fwd20,0,-0.03098018930789277,-10.86015571993335,-0.03815764259180099,-0.013850106373821683,6140
pastret1,fwd20,1,-0.013975373642531224,-5.952413425263191,-0.022252602056905428,0.00569731098931568,6122
pastret1,fwd20,2,0.004345569129031985,1.8025175446361363,0.0019109019236151084,0.010132100286307948,6122
pastret1,fwd20,3,0.01170124823312869,4.947277688642754,0.009855568399535945,0.016087919166913104,6122
pastret1,fwd20,4,0.0029373695249974682,1.133591800423263,0.001290058257101223,0.0068662023558763215,6137
pastret5,fwd20,0,-0.04621610472880449,-10.436503085723045,-0.052020037651143144,-0.03236093556836228,6141
pastret5,fwd20,1,-0.010687942519812527,-2.5777709944194815,-0.01874847998375325,0.008474173569312963,6123
pastret5,fwd20,2,0.011341930434345933,2.3981535957757747,0.009236285817747374,0.016347627233871467,6123
pastret5,fwd20,3,0.025271657642510024,5.39432657843436,0.024939000956945172,0.026062474142666964,6123
pastret5,fwd20,4,0.01647424610683645,3.3440090637548767,0.018983990010131145,0.010487129514586286,6138
rev1,fwd20,0,-0.04599673045945364,-7.7885525236644675,-0.050622376768358436,-0.034954371262024,6141
rev1,fwd20,1,-0.0003865087651322832,-0.06460984515305207,-0.0070033673993727605,0.015343585395693114,6123
rev1,fwd20,2,0.02387047717894029,3.3841237558953643,0.027689243173218824,0.014792219354703947,6123
rev1,fwd20,3,0.04421338686674566,6.318328487117633,0.04727412787919446,0.03693716305888339,6123
rev1,fwd20,4,0.037179564458517604,4.788476251983649,0.045089731046957036,0.018309475933972356,6138
rev5,fwd20,0,0.043758031615313824,10.35730292168779,0.049272547039367266,0.030593760928439417,6141
rev5,fwd20,1,0.011611903307137392,2.8239308261855554,0.020608193794932443,-0.009774755271128829,6123
rev5,fwd20,2,-0.010271199323799761,-2.2228858726719927,-0.007800716612224194,-0.016144216691086406,6123
rev5,fwd20,3,-0.02543006905183019,-5.445365147934458,-0.025176230712362618,-0.02603351264979225,6123
rev5,fwd20,4,-0.01658742293666243,-3.3714091679983667,-0.019342048045971463,-0.010016130273804408,6138
lowvol,fwd20,0,0.041927799111734824,5.926375131228678,0.03329781378497028,0.06252933054815897,6141
lowvol,fwd20,1,0.06223750781461857,8.30379652397602,0.04771194639898437,0.09676876523402475,6123
lowvol,fwd20,2,0.08255496876595249,10.299980589065784,0.07634771669006572,0.09731131539974835,6123
lowvol,fwd20,3,0.0737710250071635,8.310574215258976,0.05643144148391388,0.11499198749210884,6123
lowvol,fwd20,4,0.052414597030831615,5.596136609063973,0.038387130503130966,0.08587780317109926,6138
volz20,fwd20,0,-0.000958419328437819,-0.17977299889996912,0.010740721551724947,-0.028396227945344646,6065
volz20,fwd20,1,-0.0168233719124333,-2.7412602426123267,-0.002823988043005465,-0.04962501707367402,6061
volz20,fwd20,2,0.009471555802539552,1.5122847630747733,0.02352055203613922,-0.023337848528988854,6047
volz20,fwd20,3,0.007394704498165236,1.1241365024219665,0.016583129548098947,-0.013759452235658984,5987
volz20,fwd20,4,0.01953318203147807,2.402714398477977,0.032035031567901384,-0.009869954440286424,6077
amihud60,fwd20,0,-0.01337451297822413,-1.6665896661988042,-0.01184594430416023,-0.016781543321242466,5854
amihud60,fwd20,1,-0.010254483211611796,-1.5581018067193955,-0.006991962798076749,-0.01800139461826837,6118
amihud60,fwd20,2,-0.029779804800730985,-4.677480296265308,-0.03169849478705986,-0.0252196089093404,6122
amihud60,fwd20,3,-0.03459466156845708,-5.286147099037184,-0.019850596826097324,-0.06964536153512588,6123
amihud60,fwd20,4,-0.04636614995687103,-6.204273058932855,-0.04209834597971652,-0.056547204673469624,6138
atr_mom20,fwd20,0,-0.042079446672590844,-7.617959265086159,-0.04685419104751309,-0.03068116004563911,6141
atr_mom20,fwd20,1,0.003759166871315054,0.6740064168073135,-0.0014881774743559853,0.01623354863074261,6123
atr_mom20,fwd20,2,0.028486100822795377,4.532982579400571,0.031809512088365466,0.020585437527369525,6123
atr_mom20,fwd20,3,0.04514347669071217,7.005033118980082,0.04806291362437803,0.038203171569862825,6123
atr_mom20,fwd20,4,0.03956924159489601,5.426841032933503,0.04764635031063783,0.02030090447653782,6138
squeeze,fwd20,0,-0.017304573396279305,-2.9551551628135444,4.617698255100011e-05,-0.05799701168132423,6065
squeeze,fwd20,1,-0.020503652636310897,-3.5364290950768944,-0.007710557158495726,-0.05047887028096553,6061
squeeze,fwd20,2,-0.01113642231323168,-1.663676794006478,-0.007731682290767698,-0.019087701549366544,6047
squeeze,fwd20,3,0.013710371218602099,2.075482360659744,0.016929890631635074,0.006298195802165463,5987
squeeze,fwd20,4,0.025643768826787514,2.9191803009463544,0.031582121054277476,0.011677340863181791,6077
